# temp[C] pressure[mbar] humidity[%] freq[GHz] alt[deg] ref["]
-20 550 0.1 150 58 21.7956
-20 550 0.1 150 59 20.9588
-20 550 0.1 150 60 20.1393
-20 550 0.2 150 35 49.9397
-20 550 0.2 150 36 48.1369
-20 550 0.2 150 37 46.418
-20 550 0.2 150 38 44.7763
-20 550 0.2 150 39 43.2057
-20 550 0.2 150 40 41.7009
-20 550 0.2 150 41 40.2569
-20 550 0.2 150 42 38.8694
-20 550 0.2 150 43 37.5342
-20 550 0.2 150 44 36.2478
-20 550 0.2 150 45 35.0068
-20 550 0.2 150 46 33.8081
-20 550 0.2 150 47 32.6489
-20 550 0.2 150 48 31.5267
-20 550 0.2 150 49 30.4389
-20 550 0.2 150 50 29.3835
-20 550 0.2 150 51 28.3584
-20 550 0.2 150 52 27.3617
-20 550 0.2 150 53 26.3917
-20 550 0.2 150 54 25.4468
-20 550 0.2 150 55 24.5254
-20 550 0.2 150 56 23.6262
-20 550 0.2 150 57 22.7477
-20 550 0.2 150 58 21.8889
-20 550 0.2 150 59 21.0486
-20 550 0.2 150 60 20.2256
-20 550 0.3 150 35 50.1529
-20 550 0.3 150 36 48.3425
-20 550 0.3 150 37 46.6162
-20 550 0.3 150 38 44.9674
-20 550 0.3 150 39 43.3901
-20 550 0.3 150 40 41.8788
-20 550 0.3 150 41 40.4287
-20 550 0.3 150 42 39.0352
-20 550 0.3 150 43 37.6944
-20 550 0.3 150 44 36.4025
-20 550 0.3 150 45 35.1562
-20 550 0.3 150 46 33.9524
-20 550 0.3 150 47 32.7882
-20 550 0.3 150 48 31.6612
-20 550 0.3 150 49 30.5688
-20 550 0.3 150 50 29.5088
-20 550 0.3 150 51 28.4794
-20 550 0.3 150 52 27.4784
-20 550 0.3 150 53 26.5043
-20 550 0.3 150 54 25.5553
-20 550 0.3 150 55 24.63
-20 550 0.3 150 56 23.7269
-20 550 0.3 150 57 22.8448
-20 550 0.3 150 58 21.9823
-20 550 0.3 150 59 21.1383
-20 550 0.3 150 60 20.3118
-20 550 0.4 150 35 50.3661
-20 550 0.4 150 36 48.5479
-20 550 0.4 150 37 46.8143
-20 550 0.4 150 38 45.1585
-20 550 0.4 150 39 43.5744
-20 550 0.4 150 40 42.0567
-20 550 0.4 150 41 40.6004
-20 550 0.4 150 42 39.201
-20 550 0.4 150 43 37.8545
-20 550 0.4 150 44 36.5571
-20 550 0.4 150 45 35.3055
-20 550 0.4 150 46 34.0965
-20 550 0.4 150 47 32.9274
-20 550 0.4 150 48 31.7956
-20 550 0.4 150 49 30.6985
-20 550 0.4 150 50 29.6341
-20 550 0.4 150 51 28.6003
-20 550 0.4 150 52 27.5951
-20 550 0.4 150 53 26.6168
-20 550 0.4 150 54 25.6638
-20 550 0.4 150 55 24.7345
-20 550 0.4 150 56 23.8276
-20 550 0.4 150 57 22.9417
-20 550 0.4 150 58 22.0756
-20 550 0.4 150 59 21.2281
-20 550 0.4 150 60 20.3981
-20 550 0.5 150 35 50.5792
-20 550 0.5 150 36 48.7533
-20 550 0.5 150 37 47.0123
-20 550 0.5 150 38 45.3494
-20 550 0.5 150 39 43.7587
-20 550 0.5 150 40 42.2346
-20 550 0.5 150 41 40.7721
-20 550 0.5 150 42 39.3667
-20 550 0.5 150 43 38.0145
-20 550 0.5 150 44 36.7116
-20 550 0.5 150 45 35.4547
-20 550 0.5 150 46 34.2407
-20 550 0.5 150 47 33.0666
-20 550 0.5 150 48 31.9299
-20 550 0.5 150 49 30.8283
-20 550 0.5 150 50 29.7593
-20 550 0.5 150 51 28.7211
-20 550 0.5 150 52 27.7117
-20 550 0.5 150 53 26.7292
-20 550 0.5 150 54 25.7722
-20 550 0.5 150 55 24.839
-20 550 0.5 150 56 23.9283
-20 550 0.5 150 57 23.0386
-20 550 0.5 150 58 22.1688
-20 550 0.5 150 59 21.3177
-20 550 0.5 150 60 20.4842
-20 550 0.6 150 35 50.7921
-20 550 0.6 150 36 48.9585
-20 550 0.6 150 37 47.2102
-20 550 0.6 150 38 45.5403
-20 550 0.6 150 39 43.9429
-20 550 0.6 150 40 42.4123
-20 550 0.6 150 41 40.9436
